job_title,overall_score,keyword_score,coverage_percentage,strong_match_percentage,missing_keywords,improvement_suggestions
Security Engineer,47.65,0.0,0.0,0.0,"artist, evidence, near, purpose, security, activity, activity expert, adult, adult like, agent, agent adult, artist bar, artist record, ask, ask east, aws, aws linux, bar, bar right, billion","Consider adding experience or skills related to: artist, evidence, near, purpose, security
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Cloud Architect,47.52,0.0,0.0,0.0,"number, pattern, treat, voice, analysis, analysis doctor, architecture, architecture aws, argue, argue big, artist, artist opportunity, ask, ask open, attack, attack dinner, available, available history, aws, aws terraform","Consider adding experience or skills related to: number, pattern, treat, voice, analysis
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
UX Designer,51.89,0.00028071730702217303,10.0,0.0,"firm, life, able, able collection, adobe, adobe xd, appear, appear life, area, area store, author, author price, available, available summer, away, away sort, bad, bad firm, blue, blue mean","Consider adding experience or skills related to: firm, life, able, able collection, adobe
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Backend Developer,50.22,4.2257712736425826e-05,5.0,0.0,"country, effect, film, star, actually, actually born, address, address new, administration, administration adult, adult, adult parent, authority, authority country, bag, bag write, born, born team, bring, bring join","Consider adding experience or skills related to: country, effect, film, star, actually
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
UX Designer,48.38,0.0,0.0,0.0,"design, draw, mission, theory, adobe, adobe xd, apply, apply hospital, arm, arm support, attorney, attorney beat, bad, bad leave, bank, bank sure, beat, beat thing, best, best bank","Consider adding experience or skills related to: design, draw, mission, theory, adobe
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Cloud Architect,50.72,0.0003075346380392737,5.0,0.0,"early, federal, left, person, act, act early, activity, activity federal, administration, administration design, architecture, architecture terraform, assume, assume visit, attention, attention activity, away, away act, aws","Consider adding experience or skills related to: early, federal, left, person, act
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Database Administrator,48.29,5.652695395576684e-05,5.0,0.0,"owner, throw, able, able relationship, address, address look, administration, administration range, agency, agency sister, approach, approach owner, arrive, arrive note, assume, assume impact, attention, attention address, available, available assume","Consider adding experience or skills related to: owner, throw, able, able relationship, address
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
System Administrator,50.96,0.0002793993781135563,10.0,0.0,"family, like, ability, ability eye, agreement, agreement avoid, artist, artist chair, automation, automation monitoring, avoid, avoid newspaper, away, away read, base, base federal, beat, beat debate, believe, believe office","Consider adding experience or skills related to: family, like, ability, ability eye, agreement
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Full Stack Developer,51.66,5.2940443735953355e-05,5.0,0.0,"foot, budget, build, dinner, seven, agreement, agreement shake, american, american grow, arm, arm bit, art, art test, behavior, behavior space, bit, bit include, black, black sell, boy","Consider adding experience or skills related to: foot, budget, build, dinner, seven
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Data Engineer,47.83,0.0,0.0,0.0,"activity, conference, create, good, level, accept, accept level, activity popular, activity possible, add, add free, airflow, airflow spark, american, american rich, approach, approach low, arrive, arrive minute, artist","Consider adding experience or skills related to: activity, conference, create, good, level
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
