job_title,overall_score,keyword_score,coverage_percentage,strong_match_percentage,missing_keywords,improvement_suggestions
Security Engineer,48.72,5.3979189635941315e-05,5.0,0.0,"artist, evidence, near, purpose, security, activity, activity expert, adult, adult like, agent, agent adult, artist bar, artist record, ask, ask east, aws, aws linux, bar, bar right, billion","Consider adding experience or skills related to: artist, evidence, near, purpose, security
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Cloud Architect,48.48,8.57240833122733e-05,5.0,0.0,"number, pattern, treat, voice, analysis, analysis doctor, architecture, architecture aws, argue, argue big, artist, artist opportunity, ask, ask open, attack, attack dinner, available, available history, aws, aws terraform","Consider adding experience or skills related to: number, pattern, treat, voice, analysis
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
UX Designer,50.83,9.415544714433871e-05,5.0,0.0,"firm, life, able, able collection, adobe, adobe xd, appear, appear life, area, area store, author, author price, available, available summer, away, away sort, bad, bad firm, blue, blue mean","Consider adding experience or skills related to: firm, life, able, able collection, adobe
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Backend Developer,48.77,0.0,0.0,0.0,"country, effect, film, star, actually, actually born, address, address new, administration, administration adult, adult, adult parent, authority, authority country, bag, bag write, born, born team, bring, bring join","Consider adding experience or skills related to: country, effect, film, star, actually
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
UX Designer,50.43,0.0003940552031195503,10.0,0.0,"design, draw, mission, theory, adobe, adobe xd, apply, apply hospital, arm, arm support, attorney, attorney beat, bad, bad leave, bank, bank sure, beat, beat thing, best, best bank","Consider adding experience or skills related to: design, draw, mission, theory, adobe
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Cloud Architect,51.7,0.0008264745061341079,10.0,0.0,"early, federal, left, person, professional, act, act early, activity, activity federal, administration, administration design, architecture, architecture terraform, assume, assume visit, attention, attention activity, away, away act, aws","Consider adding experience or skills related to: early, federal, left, person, professional
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Database Administrator,49.19,0.00028495284420610296,10.0,0.0,"owner, throw, able, able relationship, address, address look, administration, administration range, agency, agency sister, approach, approach owner, arrive, arrive note, assume, assume impact, attention, attention address, available, available assume","Consider adding experience or skills related to: owner, throw, able, able relationship, address
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
System Administrator,50.22,5.3348699972040004e-05,5.0,0.0,"family, like, ability, ability eye, agreement, agreement avoid, artist, artist chair, automation, automation monitoring, avoid, avoid newspaper, away, away read, base, base federal, beat, beat debate, believe, believe office","Consider adding experience or skills related to: family, like, ability, ability eye, agreement
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Full Stack Developer,51.49,4.8327792064191206e-05,5.0,0.0,"foot, budget, build, dinner, seven, agreement, agreement shake, american, american grow, arm, arm bit, art, art test, behavior, behavior space, bit, bit include, black, black sell, boy","Consider adding experience or skills related to: foot, budget, build, dinner, seven
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Data Engineer,50.59,0.0005637345210021217,15.0,0.0,"activity, conference, create, good, level, accept, accept level, activity popular, activity possible, add, add free, airflow, airflow spark, american, american rich, approach, approach low, arrive, arrive minute, artist","Consider adding experience or skills related to: activity, conference, create, good, level
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
